sgRNA	Gene	IgG_1_2	IgG_2_2	IgG_3_2	IgG_4_2	IgG_5_2	IgG_6_2	TNF_1_2	TNF_2_2	TNF_3_2	TNF_4_2	TNF_5_2	TNF_6_2	CD48_1_2	CD48_2_2	CD48_3_2	CD48_4_2	CD48_5_2	CD48_6_2	CD115_1_2	CD115_2_2	CD115_3_2	CD115_4_2	CD115_5_2	CD115_6_2	IgG_1_1	IgG_2_1	IgG_3_1	IgG_4_1	IgG_5_1	IgG_6_1	IgG_7_1	IgG_8_1	CD115_1_1	CD115_2_1	CD115_3_1	CD115_4_1	CD115_5_1	CD115_6_1	CD115_7_1	CD115_8_1	CD48_1_1	CD48_2_1	CD48_3_1	CD48_4_1	CD48_5_1	CD48_6_1	TNF_1_1	TNF_2_1	TNF_3_1	TNF_4_1	TNF_5_1	TNF_6_1
Cdkn2b	Cdkn2b	50	19	33	32	62	5552	107	43	213	3526	39597	1753	6	5	1228	7	30	8	10867	1056	2846	2714	1234	108	39333	47394	1626	16377	532	5904	555	3612	33380	11854	14460	132174	7550	1759	53323	337994	44841	19455	761	7636	3548	963	954	8001	136	731	432	7546
Cfh	Cfh	214	383	735	792	2622	12046	548	565	51	3826	7389	102	1947	178	2094	4787	5264	20108	12902	295	19424	2907	3474	613	120364	109563	6056	22828	8484	4114	2658	29050	87247	67909	42312	255575	8435	2304	94827	262102	20349	17055	1126	45875	6178	4013	1436	50644	341	19591	900	17199
Col11a1	Col11a1	107	281	74	564	1758	12330	133	351	1191	3925	26767	360	12939	44871	306	8782	1184	5883	9758	170	6159	365	1615	1848	93396	66931	3191	15159	4481	17320	826	9554	42479	16130	52235	113958	16111	3766	29826	858721	90117	39002	31110	11024	4229	2017	5663	43829	2346	4636	370	4938
Col1a2	Col1a2	138	25	34	9	60	6234	70	56	154	282	41426	4095	5141	17559	138	32	2645	4404	13151	105	1186	182	798	170	24434	93383	6880	19662	3461	23019	228	4268	138594	12198	32872	75256	6213	1856	94242	200281	82054	16284	1469	75798	2373	1895	1211	36258	849	4123	520	1237
Col22a1	Col22a1	211	76	184	376	49	1152	159	265	173	928	37222	1134	12569	52694	8926	4797	3135	6823	14387	524	18337	285	1154	152	17584	93644	12134	14037	4816	10374	5817	57123	56333	126183	63394	67906	13065	2420	152047	124988	126977	25760	2327	67263	11714	1522	1959	47264	3549	35778	1128	7224
Col4a4	Col4a4	194	59	602	216	7991	16961	80	323	2500	8868	20577	6136	10772	21822	183	144	296	11736	26509	355	3211	1728	124	164	172248	64895	4952	12577	2038	19453	819	2809	105334	67137	68176	69586	20270	3869	210761	531575	35857	65871	2323	41162	6845	3366	1302	37883	2296	6940	519	9650
Col6a3	Col6a3	312	305	783	743	79353	10277	2370	6841	187	5588	8204	2241	498	1148	3407	5354	339	14541	6966	428	83264	4257	1262	490	243606	94540	8813	21595	10518	7324	3584	35777	146663	4511	66890	246931	21629	3076	83389	562913	159642	4774	1899	40277	10391	2417	5694	57016	2755	15000	882	10443
Col6a5	Col6a5	219	12	300	343	105	9879	324	492	468	125	58804	7675	93	47	186	7731	21497	14952	25199	739	30344	18255	1869	204	131854	21039	2774	7661	28151	13852	716	9746	42424	50880	65814	127025	12972	3378	119878	658348	70963	12003	1936	142388	6982	1300	2039	8675	6867	3877	437	11355
Col6a6	Col6a6	497	252	759	446	32492	6924	245	384	5828	7290	8506	12515	6474	1374	128	2129	132	22066	11967	190	1460	1220	746	611	130042	120339	4479	13390	13845	14772	1036	5243	44104	37784	66611	132204	8378	2887	155266	364510	63813	1641	1715	34467	6156	2471	953	26132	1740	8010	743	8719
Crebbp	Crebbp	44	5	416	850	36	2741	5	1	23	288	10	199	277	845	47	18	7937	166	2250	28	17238	448	2761	69	28177	47990	1587	4410	1096	5857	1955	6895	11008	2417	81125	10246	1757	1001	44723	141055	23347	1044	1495	164860	5538	230	337	13284	1050	2926	399	2037
Csmd1	Csmd1	189	628	559	827	7307	9044	447	1306	312	178	57223	4263	4546	31067	231	2954	1064	12519	7658	711	14638	6481	3355	397	103778	184615	5599	17338	4544	4523	249	974	134740	19767	80613	147231	7412	2323	48573	233578	177722	30146	2281	116300	8035	2527	1241	66710	1019	17479	558	10606
Csmd2	Csmd2	631	686	795	157	227	36620	329	1217	4958	17300	40618	9179	6907	105	10739	10858	1286	78981	6505	155	34297	181	15690	1342	148346	101686	6155	57443	5298	10300	566	24594	148012	68096	98421	285931	15278	2593	177447	200838	170316	18438	2511	14250	6752	3646	2381	41678	2788	16319	454	3427
Csmd3	Csmd3	153	133	1660	50	3392	7786	98	195	743	4694	33038	3684	4123	10629	1668	8261	1232	18995	13786	249	69258	3556	2289	2315	79467	76782	1938	9411	4689	8149	1025	18360	82352	41991	47194	238550	8024	3711	23227	819070	222697	20617	43043	22286	8382	5868	1735	37899	690	10405	908	6355
Cttn	Cttn	1690	660	88	18	6080	3411	117	362	2627	3553	52940	1018	3236	23	2948	1084	12159	7227	5356	483	4417	24	2128	491	61698	46095	6648	5822	3989	10958	2161	25141	46089	84383	42970	200230	5097	3563	79155	717784	129389	67264	2345	154882	22971	2061	1536	19889	309	6701	310	1798
Cubn	Cubn	155	244	105	27	2327	11555	27	9	839	2408	1424	4189	3236	14	64	353	59	7294	15998	58	11036	1103	11352	118	349037	123154	10979	37765	2809	31303	822	41326	89339	13202	61293	156198	9748	3730	10056	749646	22065	87395	32039	83563	14880	8734	727	22261	872	2543	483	9708
D630045J12Rik	D630045J12Rik	640	1324	1273	2012	24960	60444	144	1441	769	5180	9009	6000	26885	3098	1731	19160	2450	9411	18069	92	50624	1856	1651	682	312127	74899	7474	18574	4019	9216	3855	10881	76136	30354	30048	170062	43259	7934	180160	1839003	28885	32647	29168	19883	16149	4079	2032	55718	3380	6106	1457	18241
Dgkb	Dgkb	59	48	351	39	2427	22520	368	1395	1936	3982	32029	4073	1888	1808	535	3197	4265	6694	3676	224	50196	82	3735	141	78660	66462	4156	16196	2703	10025	601	8632	93395	10360	67902	202513	11273	3008	266271	349464	117841	8965	2729	68357	15443	2447	1222	58008	731	19758	1144	32347
Dmd	Dmd	260	256	754	117	2967	6178	131	48	811	1777	30335	4330	4284	14630	186	3910	5177	14842	16757	1128	20664	3946	6056	259	21128	98980	3400	9257	14761	11211	1674	3367	313896	40424	57946	152462	20253	3573	83907	627485	64376	25757	1402	10575	9918	6747	6186	49024	2899	18318	1398	25135
Dnah10	Dnah10	295	24	15	5	45	2293	332	436	169	77	45147	1060	1037	29	128	2976	2004	24454	9399	14	46	51	386	84	46960	29187	1219	22095	2139	18162	1333	12540	54135	39920	90868	128279	7136	1978	42173	359231	32714	798	1143	10389	3452	1185	1166	34537	758	13053	685	15331
Dnah11	Dnah11	238	130	1669	327	22081	3082	111	61	263	1109	72186	1095	4863	32	12809	3119	162	8011	9629	485	6881	5474	252	48	96039	81212	10515	19115	13101	97100	826	9202	305879	67093	35947	96797	12083	3848	46936	617049	127627	57987	5303	88217	9957	4600	1630	21668	335	4679	607	10390
Dnah17	Dnah17	278	294	406	329	113	3929	618	207	435	1225	116843	831	6185	1730	1120	6982	214	15725	7975	315	40608	4255	2722	540	43005	66413	10910	8012	2398	13487	592	30108	138856	20249	99900	284177	9131	2701	129791	439413	139941	12476	8588	55720	8355	2227	2106	37529	2724	7684	949	27092
Dnah3	Dnah3	310	242	1338	108	37898	35278	164	549	1525	7478	41145	1605	5823	205	605	13439	4056	9584	17115	626	131639	2584	2392	306	60209	68233	3626	12082	3508	19024	4841	1562	83971	48058	38576	191058	12422	2232	183536	235332	237494	23492	2543	10968	15517	2412	2358	45916	2903	7516	827	12577
Dnah5	Dnah5	151	65	338	105	39088	13586	345	174	2351	4134	173139	22447	5390	8307	9902	3960	350	21678	13561	772	29716	7135	9459	1516	263753	61128	14259	39015	1504	16569	1328	7233	96199	25922	78013	147278	28883	2265	197798	207467	163885	5404	36047	9075	7879	2535	2540	35287	690	18725	766	14055
Dnah6	Dnah6	330	840	938	1670	3980	880	254	699	3010	4883	39848	8448	6131	7668	775	1105	135	19244	16288	214	5430	2937	3501	1423	73023	76854	2707	12080	3923	4728	2324	11127	51781	51867	54944	65837	10687	3948	62206	807064	163178	4940	68490	12461	6129	1743	2024	26377	2711	7973	384	6575
Dnah7a	Dnah7a	286	351	172	36	148	19258	159	91	916	1202	86971	3575	4147	251	116	380	31973	3268	854	289	47	6	259	356	50631	24200	1055	6472	4555	4840	334	4523	16072	5664	84237	60109	7070	1849	93283	251174	140032	98369	2433	50701	1783	6317	1454	29637	426	8892	302	13336
Dnah8	Dnah8	67	69	378	167	14	240	46	147	124	753	11186	2882	3699	641	179	7678	1921	15808	6059	611	74224	308	507	629	72571	11076	1218	7290	3360	8058	300	500	34934	718	20452	7375	1079	615	31877	84091	5534	256	332	848	9631	4908	1040	11007	500	8457	459	1011
Dnah9	Dnah9	204	6	35	50	61	6144	125	1253	91	147	24721	2221	3085	1086	117	12923	102	11830	6185	192	3875	5875	4400	1148	27854	64223	7373	25528	4853	7947	1942	4000	198590	22768	66919	220944	20169	4589	259062	709977	167261	98521	3586	54884	26932	3167	2962	35063	896	16463	1176	17545
Dscam	Dscam	381	1167	1592	7117	8792	2791	801	2182	757	2001	53534	12592	6031	77	21968	6151	11533	10234	17210	557	31361	303	4676	792	108863	56895	4173	19451	3889	10564	565	8696	77189	8973	51609	229096	3511	2164	82466	402792	31005	6785	4281	75244	8004	1330	2078	57965	221	9684	336	12448
Dst	Dst	45	13	44	12	25	5540	39	11	3124	4366	606	3165	724	11	1113	1189	22	6666	2727	178	1869	1920	1220	43	19003	35306	848	2596	19299	5282	2037	7691	17760	20741	103922	30021	8263	2564	59250	510284	20547	12029	1211	4510	11724	1468	827	27122	1189	3774	534	8554
Ep300	Ep300	22	8	108	14	6956	22	35	17	487	932	15180	102	1466	1543	128	766	3891	1458	1935	173	4654	23	319	611	66686	20184	3439	5369	1406	4224	669	42099	13516	17618	24510	136211	3519	980	8839	205732	66552	642	676	27037	3352	2926	803	20905	525	2087	370	1884
Epha5	Epha5	153	346	703	382	1537	11651	176	42	3221	10879	29330	2966	10797	56	12622	9709	591	25166	7151	688	50061	4472	4132	361	55917	85736	5629	48240	9766	18496	1428	8693	122429	42358	111582	207166	29752	5784	30229	1443986	83047	20628	1432	27616	9748	4988	2552	95495	5570	11316	844	47663
Epha7	Epha7	66	13	241	22	43	2407	101	64	21214	27914	19646	2870	1170	27	128	4253	6249	15790	15960	506	27059	216	1550	109	49036	77989	7107	10064	4751	10998	433	2365	46944	2837	46088	516577	9235	1396	1115	220503	60711	2221	3839	7047	7391	227	688	37713	183	10247	344	4097
Erbb4	Erbb4	298	81	366	118	18375	6277	36	8	720	5399	4838	55	315	30	145	3099	174	28835	24007	272	19603	13180	1105	189	222171	91860	7086	16784	7291	5743	1729	15187	9396	11676	52220	218480	13996	3086	100938	592691	236424	13816	2303	11900	5766	3291	2688	21596	487	3781	744	13004
Erich3	Erich3	122	615	328	1030	8132	20158	962	1607	291	2391	56071	8085	5553	2068	17374	2575	142	15948	882	111	11143	218	172	1955	155096	50323	2349	8046	1156	4644	690	698	57850	55998	25922	119097	15340	2103	92994	326471	66246	15736	1118	5160	1497	2587	1964	31431	3004	8329	473	5979
Fadd	Fadd	34	6	42	20	12	4312	10	3	13	576	1915	1462	268	913	13	143	1311	1015	5758	143	4090	3848	40	219	38062	18402	1504	4371	580	2004	1019	347	22861	457	8851	35391	9097	316	459	24129	44216	12772	62774	36999	6678	966	857	19603	433	3802	207	16437
Fam135b	Fam135b	949	2001	361	88	8771	4806	559	3567	212	2727	37064	1064	4551	19900	243	8033	2864	10764	19587	1630	66524	8602	9405	912	115028	148440	5427	25559	2758	10146	1341	23034	102049	38199	87566	326304	10554	3637	60292	648672	329157	23972	7557	167357	6853	4365	2940	68431	2015	15957	698	3503
Fat1	Fat1	9982	18431	26760	23555	2678287	66651	5916	28990	25664	58265	1118378	11695	218486	162370	15218	78627	29409	488532	122931	4548	565103	8316	55623	4286	1188711	500144	56621	482460	101193	350850	4836	32429	2476407	447825	702473	419521	77533	30315	1842455	4062922	374554	172524	18814	53470	69097	44906	32690	552514	19152	116874	5267	20225
Fat2	Fat2	910	79	354	108	29866	35444	829	1506	3639	9605	104846	14343	19383	5904	3232	12078	2955	22899	10868	537	21511	1946	4554	753	59889	150260	3686	15684	15807	14244	686	11728	131390	51408	76678	128218	33160	4725	53228	878013	158536	14578	3083	366698	12140	1052	1937	49785	374	10494	1035	25964
Fat3	Fat3	54	208	369	369	4406	555	75	214	169	391	33238	6653	317	21	78	1095	6365	6246	757	266	23910	3083	220	61	40073	41320	4167	7657	8064	10735	1449	5439	129367	43886	8795	204641	3440	1263	28717	148951	68547	31404	957	48150	9858	1518	1831	22041	224	5853	486	5785
Fat4	Fat4	144	17	2133	2526	193	2768	266	116	531	5818	137604	4895	3443	32	174	2045	248	27985	21643	619	24919	18540	5606	549	39530	53304	2138	9894	4804	13575	757	41475	148538	31011	41305	124448	11659	2857	336687	245418	244122	18262	6125	291480	16054	2692	964	59527	723	14417	826	17411
Fbxw7	Fbxw7	156	24	5586	2550	7989	12603	12	7	231	82	6708	21	8	7	42	4566	26	1548	22	126	10677	344	2120	50	38035	27157	1259	4947	176	1138	30	550	36880	42004	20104	23739	9638	842	4586	143633	7474	17058	2873	1915	2373	152	2269	10484	49	1161	328	1011
Fgf15	Fgf15	308	217	186	135	1378	422	279	2433	2472	4016	37704	184	5027	58	246	81	214	52279	6790	997	7127	27	113	210	64995	40672	3888	31959	10896	8545	815	1139	83722	22168	21461	12591	7803	707	11566	62283	55560	23611	640	3216	4458	1513	379	20054	384	4421	771	6719
Fgf3	Fgf3	310	383	916	674	46841	8095	302	38	994	3531	50866	889	7390	49	170	4301	1012	26894	30732	85	23367	5667	2518	186	80333	54921	3888	9903	13127	10112	543	21700	229320	32405	80563	446615	29566	2400	185602	250858	63172	26521	30058	8524	7416	10188	1074	31613	287	9520	803	9922
Fgf4	Fgf4	254	193	387	342	90	17013	383	3467	520	5817	35220	1891	1888	1243	1200	1176	355	26665	20718	151	5852	8212	173	763	21586	52936	3468	3152	3271	9420	314	29871	76908	12655	36336	70085	4286	1648	154964	192572	16222	2996	60250	4287	7935	1193	1813	17724	478	4446	454	19865
Flg	Flg	215	270	400	107	78574	10195	44	81	1074	9946	14078	741	6528	50	165	8174	743	26423	7701	58	14702	332	4809	505	24026	26211	6529	10840	2356	1848	584	1031	95152	3589	68900	322281	8567	3749	303550	594013	42712	25480	2613	7919	5988	9877	1104	41469	552	6189	556	16360
Fmn2	Fmn2	240	206	3249	739	3936	6031	129	434	285	4825	35571	183	6908	37	328	3083	11200	10273	15121	480	23568	505	3355	180	39215	60484	3365	17726	4283	5830	2160	11674	122840	57890	62309	96785	10505	2794	35839	533911	33572	32613	1001	6025	7652	1369	1900	30446	1682	6995	485	4682
Herc2	Herc2	188	25	502	48	32525	138	313	161	203	475	21766	5452	6131	652	17479	4105	3372	16454	30646	220	74494	1206	4418	736	54186	152083	4038	26873	2552	23123	776	50218	61358	15083	63938	63739	13894	2575	78833	346314	69638	1880	18136	76175	8993	2382	672	38229	5209	9895	778	15036
Hmcn1	Hmcn1	223	55	55	59	120	3642	222	42	119	141	26515	6201	11144	7592	162	14004	150	7414	13077	512	7346	9229	17287	1114	53147	43320	4459	12109	507	2170	932	2652	87533	10990	42823	114531	5909	3339	169209	669904	83238	882	1696	40530	7814	1700	1447	39683	255	5909	551	9800
Hras	Hras	280	806	564	323	95	64	341	4797	2256	2551	66255	3173	10816	37491	1819	3806	8181	3777	13538	2074	16997	2274	5509	222	273245	46084	6717	16161	2770	3986	1130	1379	216027	32339	15631	64617	11911	1519	109032	182232	199794	19119	1868	8090	2270	2181	1396	24842	294	4813	310	358
Huwe1	Huwe1	9	4	73	1	1	29	3	7	12	405	1130	1571	1647	3187	122	1071	90	24561	1523	35	6127	15	22	101	32045	8507	645	17632	303	2387	334	3206	26446	279	4908	16669	3697	1283	87277	235479	38115	6484	765	5723	772	651	198	9735	413	846	97	1214
Kdr	Kdr	64	5	75	59	39	1486	84	30	2134	3166	35468	1755	4790	20	91	6073	78	8625	11547	112	14370	10168	2242	63	49088	38201	3740	15299	1408	12103	1071	38529	64000	2535	55655	18215	31289	2135	167654	182754	424685	78111	3807	39709	10525	1968	1126	28509	400	4392	357	7528
Kmt2c	Kmt2c	820	4558	524	288	96537	3467	1553	3442	283	87	68947	5878	12385	47924	295	1979	878	187	7902	364	15599	3584	723	751	76976	72578	20252	10772	2113	3968	1814	52548	121267	2055	64423	26178	3875	2261	9929	505683	237179	17346	5364	11419	7920	2057	2088	20056	419	7828	507	5587
Kmt2d	Kmt2d	658	12	238	34	1631	2997	59	193	4038	16176	11192	8240	5894	1193	147	4969	987	14202	9652	113	42454	1375	1632	589	215779	39641	3224	13298	2382	2985	509	4475	109601	19265	54023	126612	26779	4815	32181	1191073	38599	19407	825	9613	14726	1298	1849	39322	384	14238	492	9474
Lama2	Lama2	314	4	524	230	78	4916	35	198	1631	2030	19596	495	3171	45	182	3259	5121	24642	1349	310	64893	708	6152	1350	53670	55193	4431	7621	3517	13157	1830	23372	108328	1890	56115	49314	9026	3228	318091	356627	25461	29105	2503	4653	4044	6935	712	23316	1616	7984	494	27034
Lama5	Lama5	313	384	535	5733	63	5547	425	1251	2706	13778	38802	752	20205	65	2755	4431	229	18260	11675	426	78040	15378	518	217	149577	55328	11310	23155	1176	12749	4078	7123	259194	7308	59082	75957	18523	3439	120764	534234	85336	136822	6664	50628	8370	4055	2329	37102	8025	10293	784	18744
Lrp1	Lrp1	463	36	488	200	32219	6880	102	487	1297	4419	58806	587	2180	30	7720	2633	1229	13279	11163	321	67414	4772	5153	166	163617	128707	7182	33914	2716	7645	3599	3828	188516	39539	35979	55323	22735	4133	163302	628063	44180	67424	1824	14017	7537	2224	3261	37895	1894	4080	648	15704
Lrp1b	Lrp1b	76	345	56	390	1358	3803	185	2610	129	803	23460	7935	1501	410	78	5659	309	10501	5473	408	8805	1264	3736	189	182641	42395	2669	9275	4402	10634	591	1218	59928	26907	38782	175230	7496	2126	97658	343602	54286	913	1049	5021	32280	6788	745	48361	1149	18708	774	22228
Lrp2	Lrp2	918	230	144	153	11427	7995	74	79	1146	1071	13425	1769	5787	6058	330	7307	3157	23213	43916	308	14401	491	845	481	162658	105333	5055	51589	10064	20332	1654	15384	73182	49453	46024	87069	23945	1754	45428	172838	181438	13914	1613	8337	4403	2794	2642	48586	831	6121	672	25128
Macf1	Macf1	442	328	301	460	7131	12061	229	1193	3831	1551	63589	4263	10455	9043	5815	5379	3934	5827	4890	346	14449	409	3593	286	142142	43669	8674	8084	2693	6365	287	29490	80019	9119	29729	105120	10358	3297	186369	572260	48832	47828	1852	7462	5952	2765	848	32715	3981	17518	542	4437
Magi2	Magi2	310	220	966	823	51040	7276	991	3418	1849	2592	128518	8391	9094	1530	2937	2215	1306	19215	14122	659	15445	12684	5126	465	21349	53699	2368	34802	5528	12677	816	13295	102031	59780	38750	267939	21338	2118	67988	369293	16309	842	3525	4647	12133	1556	361	36187	247	5409	676	8261
Mdn1	Mdn1	2	0	26	1	1	1	3	3	23	366	1181	340	114	1	8	1	7	879	581	5	5412	8	20	49	44972	8103	3388	1600	502	2422	18	161	9515	595	16856	29752	437	233	1451	39473	5987	108	165	675	930	1448	336	6083	29	500	30	79
Mgam	Mgam	244	93	604	88	3334	48372	175	142	1412	3425	69103	9537	8991	26751	396	5454	17429	23131	29199	676	79842	388	5185	453	39339	72187	1452	26988	1670	11387	225	3808	51149	43985	83885	120022	6188	2065	119270	174418	41970	47346	1852	60181	2450	6621	1720	36292	1130	4400	685	5543
Mroh2b	Mroh2b	134	76	444	29	41	5711	76	58	3094	3942	25406	4925	9680	21549	2676	1088	395	40536	14055	707	85636	1199	973	1047	220348	91834	2208	25469	6342	14971	311	2314	75893	55458	59874	143518	25400	2786	74130	454864	59338	27425	6391	19686	7396	1483	3629	22910	625	6149	606	16962
Muc16	Muc16	359	20	104	43	3168	9201	276	3149	721	7422	18254	11272	1343	3954	196	21638	137	19125	6662	748	10462	820	4387	144	90640	113302	3659	12270	1879	4201	257	6413	53657	36234	73336	22247	17009	4341	71040	863108	67993	9623	1350	9455	5360	3815	2019	30294	4259	22667	604	10449
Muc2	Muc2	243	109	1272	974	94481	1363	70	359	1217	1512	37379	384	1964	25	158	2581	4192	12552	16760	159	57827	110	1415	134	49766	64107	6883	12459	2659	4325	353	11659	119307	4988	26727	47152	5438	2282	93853	418281	67406	4488	1159	28880	7789	1235	1447	34316	1437	14588	512	11593
