"","Fat1","Trp53","Ryr2","Lama2","Fat3","Notch1","Xirp2","ctrl","Adgrl3","Col6a3","Myh2","Vcan","Lrp1b","Kmt2c","Crebbp","Ryr1","D630045J12Rik","Myh1","Ahnak","Hmcn1","Flg","Fgf3","Lrp2","Dnah6","Huwe1","Tenm1","Prex2","Adgrb3","Pcdh11x","Fadd","Zfp831","Col4a4","Pkhd1l1","Zmat3","Dnah11","Spta1","Ptprd","Dmd","Sphkap","Fmn2","Muc16","Peg3","Col6a6","Thsd7a","Erbb4","Unc13c","Notch2","Kmt2d","Fat4","Sis","Neb","Apob","Pappa2","Cttn","Ccnd1","Fbxw7","Tnxb","Fgf15","Zfp469","Tpcn2","Ryr3","Fat2","Dgkb","Muc2","Cacna1e","Zfp804b","Dst","Adgrv1","Cdkn2a","Fam135b","Runx1t1","Erich3","Dnah7a","Csmd3","Ank2","Col22a1","Ep300","Muc3","Dnah8","Csmd2","Pik3cg","Aspm","Rp1","Mgam","Scn9a","Ros1","Epha7","Abca13","Syne2","Dnah9","Dnah17","Muc5b","Cfh","P3h2","Ahnak2","Dnah10","Hras","Cubn","Casp8","Lama5","Cdh2","Prkdc","Syne1","Tnni3k","Ano1","Shank2","Col1a2","Plec","Kdr","Epha5","Magi2","Nsd1","Ush2a","Pclo","Myh8","Lrp1","Zfhx4","Pak7","Obscn","Ttn","Nav3","Sox2","Herc2","Pik3ca","Slit2","Pcdh15","Dscam","Pkhd1","Dnah3","Vps13b","Dnah5","Col6a5","Mroh2b","Cdh10","Cdkn2b","Fgf4","Akap9","Spag17","Zfp78","Macf1","Adgrl2","Tet1","Csmd1","Aff3","Muc4","Col11a1","Reln","Ppfia1","Mdn1","Oraov1","Trp63"
"Atf3",3.17744843566352,2.56133036804471,4.43872169137197,3.65429962087022,2.91818859901207,4.39877103248737,2.57088977841892,3.79020345523989,4.19539241490789,6.48382192520575,6.18048030626158,4.15634526666795,4.51743534756577,1.56123475983062,4.09528345083364,2.23066029233884,2.62057041432351,4.8308498195899,3.80974784888817,11.5007508961347,3.70295138659458,3.63886512579759,2.75898613429101,3.80566053249903,1.12029299167946,3.13988429240126,4.20229913401606,3.67454830237323,2.16760243454458,3.90064873774009,2.65883292916824,3.85228127311919,3.27248560456175,2.43105029950233,6.14358033975648,1.99124355250334,2.52438121849495,4.1869730593274,8.41931826754926,4.16816006492476,3.47121190325771,1.6207517957634,3.00453789440068,5.19417094308662,2.41613775379102,3.79219412401819,3.901609470183,3.55904167289223,2.84815816003826,2.35238892846865,3.74735527545656,3.51531938054827,4.741806117644,2.51496556712789,2.32495542455836,2.33265856618405,1.8044709728866,2.1527532499345,3.11235071821417,1.55687332780639,3.90774993399629,3.57013059484497,2.83333963400492,5.5779822467877,4.27905326994686,3.19757357049891,2.92631423545424,4.8089772209004,1.99596748167245,5.8434453075546,3.22225336958087,1.64593864782651,2.89923190168136,4.60518246397121,2.33698224250549,2.30798180789064,2.86048303945873,3.99481907043733,4.03839814594588,5.3109899721671,2.96874450222296,7.47448829631078,13.5307665936344,3.78563446504584,2.45575192061331,4.92519489330551,5.09960237407146,4.98617575618696,5.57499768099308,3.11317705866782,3.08485338847575,2.93372508105396,4.74355085439045,4.61901127473469,2.79060436070857,4.2568952479103,3.14678821644773,3.9391491246723,4.07074201939522,8.74809376856981,3.85471635159626,3.00830391965448,3.73577353528273,2.32628203526211,5.81355109583645,5.30225525371934,1.8513150276548,1.35481549069482,1.75301498517223,4.10272331244281,4.78069873289573,4.08573111536472,6.05713922854958,4.88487321733979,4.25872984466134,2.66725099811416,2.71917444840796,2.15362849428171,3.08649822459648,4.26857781375265,6.57997286989292,3.78849553377791,3.01430099856505,3.26303291949455,3.50605743113767,5.93361657844219,2.91333057427138,2.91729897516204,3.61367451848789,1.40728599879346,12.2207053652384,3.5333092056558,5.35098889901407,3.14660127244945,2.50919591703259,3.97875057239721,3.62764968455558,4.75062305120756,4.00381833315317,3.13129066015569,6.05216221081648,2.64607031101007,3.21387951617168,1.93966366040068,2.86266039778597,2.82012818868598,2.37410787380587,5.12220474278421,4.86918169227683,6.74019948525883,0
"Btg2",2.77000055873625,1.70793421386911,2.5892032460237,1.97373708581905,1.92812979149609,2.49133148315043,1.76447378390948,2.72139802402802,2.46024809215217,3.68295889878028,2.98197518702532,2.74312834736218,1.91125575006067,1.13128562974579,1.8877129477785,1.45572393484038,1.93217651641818,3.75487555344227,2.00403957326251,5.23154344259861,2.06869919685408,3.51795558513553,1.61530792181249,2.1656088891415,0.494151132732041,1.8741293369551,2.07690431638471,2.43100840414756,1.91880401705794,1.98081846365492,1.36627665969171,1.88424718911275,1.71205665570658,2.06536653808963,2.51082470207495,1.51876718747355,2.06382664653684,1.78532908708893,3.93894730076831,2.65707519918462,2.32395643175219,1.94951503816666,1.83427936353913,3.8553274372903,2.08069208005123,1.89444842771428,3.43955691425945,2.68526075757773,1.87653260656303,1.45602579075429,3.1220938972489,2.54038609590049,1.88576676244042,1.90077563285239,1.29060227459665,1.22396118174805,2.19662587370464,1.12538621909934,2.28511608371608,1.50189307744131,2.29164784837762,2.16587655258087,1.03303499312166,2.36402008741475,2.46295856673157,2.01279493368304,1.57544689511695,3.20172860760807,1.14901074844043,3.18896082994639,2.05015648932511,1.26778204172598,1.80079363906234,3.19129717595331,2.08051343386179,1.5817401607197,2.26008450775829,2.6650821946416,1.93765958580483,2.4844499261759,1.41043612206912,4.0200337468035,7.01160670431575,2.4864632694986,1.86643823685876,3.06088010484606,2.48427054701286,2.19287148436903,2.60795232189005,2.76976468632795,1.7161159043772,1.78532814202702,3.12887133355578,3.12580777038871,2.27046295192553,2.80650593627816,1.563405092624,2.84208576911401,2.42624760504892,2.98136908461068,3.68366030112334,2.69939882201704,2.48798078913323,0.996165966799445,3.34932401649802,3.30918561757536,1.52697761558806,1.52167959362434,1.62693029183111,2.41270360105429,3.32888502784062,1.20668877413493,3.0638140301106,2.17868673034006,2.09447244040705,1.31409535775668,3.35478159518675,2.13061866612913,2.29660095025742,2.85841224872625,3.46106609427266,3.15474249040682,2.00894594577576,2.84477039505665,1.9639726676307,3.67596656112366,2.10158570312927,1.6608342048445,1.82016762112769,1.0289809304686,3.86201461379749,1.86922541999333,2.43813940097359,1.80200384560252,1.84322640562576,3.36684127382178,1.66250708440207,2.82394667591112,2.90550639459723,2.95569484726004,2.97969167259251,1.58648561965805,2.05611489324574,1.82449751727492,1.41007938739045,2.51269650262437,1.71409031556087,3.99000817611882,2.42515818812712,2.97197271495727,0
"Ccn1",2.90700784081877,3.31032622424012,2.80124275417963,3.54947014571216,2.3397607106778,2.68301865579214,2.44192507394782,3.03606294159751,4.27251052554253,4.6387235862352,4.26567520413325,3.76546778460827,4.85053139314356,2.5413211060677,3.03444385762101,3.80075966538825,2.62741021361043,2.95159781440892,4.51002947502402,5.04763278656067,3.82275840455304,2.83523093100334,3.48304176676164,2.74509890274222,3.10944281293051,3.73212171242367,3.78730260024365,3.07691212415865,2.44681335881455,2.45588433859809,4.08766117978501,2.15296624260819,2.90279373598277,2.79617311792481,5.07164944622343,2.65410203038929,2.80772070015988,3.45274080019051,3.66899195106696,3.14141129041281,3.47232089396328,1.97538044567605,2.76157940051781,3.46909456583719,2.51489034745206,3.6952459132807,2.89615616683313,3.33711224738694,3.88587134540999,3.96977427347196,2.78992507218926,3.13887062350303,3.52653153644455,2.7286933024194,1.87066850585993,3.31062741041806,2.50621948154773,2.9439004776029,2.38605676633805,2.80241727593141,3.27136376948522,4.91202809634683,2.50979760967538,3.71255767361353,3.34560669081554,3.96127827907953,3.64935596354798,3.76076510260606,3.79112716998904,3.66917810678655,3.37457419501863,2.89229351416966,2.91407886268088,4.64575925365575,2.51925131235624,2.31438569772642,3.16794327139796,2.49766645813198,2.62910635370053,3.13730380446033,3.16737343881413,4.11097583805439,4.3559232989564,4.09391766464788,2.54244036941299,2.99733722872321,2.91761345798745,4.26246941395911,3.71127016969692,2.62920018651902,3.02803922793022,4.29410217083094,3.84650474507297,3.15636474336809,3.25626283693655,3.60056307306702,2.51178379768465,3.10741229596734,3.86618083896924,6.08217316237109,3.0177103506218,2.20619710036371,2.99067377768661,2.93918502906498,4.76541885735312,4.26673737683328,3.55615899078385,3.50382661804823,3.1366380655976,3.76025574681175,3.22681199150591,2.57239118318585,4.39537692824152,5.31807914487302,3.02459587315606,2.33307146749254,2.58882297995284,2.40622487114973,2.33146964515031,3.02370063180089,4.22099896273446,3.82905811231172,2.78834937088952,1.03294801562905,2.41243232614375,4.33330114447139,2.23223708415758,3.27610287862691,4.35117143004763,2.01442318548764,6.41959201646005,2.65212180761843,4.90894164826985,3.76084029462442,2.08470878350642,3.58424619058862,3.28042502474999,4.0946240332561,3.27480185605625,3.09314328536523,3.75824243690659,3.99087278147078,3.10057538416594,3.44151538390853,3.5293282630423,2.72431591514722,3.41211243263416,5.26609763522891,2.31613869195672,4.02593217874584,11.2104254261217
"Dnajb1",4.17881918141622,3.20766386397041,4.58957523940989,3.23194880549184,3.01623204306755,4.04478324866127,3.02296165414799,4.01984325794033,3.19000667146173,5.01455608064873,4.55482041931588,4.02224783620944,3.38239046692362,2.24587986772186,2.98312184080595,2.99096335437276,3.23037725888373,4.89512046771801,3.57736829244159,6.18820652184806,3.04015477714141,4.55084747982129,2.95672758115273,3.04130235362481,2.15914441113109,2.31264388067471,3.30765746935251,3.57093020234591,2.80670971619261,3.07224500851336,2.79680775410507,3.16674419672103,3.48951474232694,2.53209990739906,3.12194225615668,2.47868442869875,3.95501920207026,3.85628887284679,4.86057788523386,3.0169126807835,4.12930891398448,2.95612956593665,3.72980289355772,4.31432261858604,2.81523809205917,3.2940050052459,4.52847761306548,3.11807135855871,2.82072791188051,2.56058502059129,3.59304906348983,3.92903183589715,3.58270345533234,3.12046294383623,3.37143645692397,2.8652189676272,3.40507240804786,2.87967608921941,3.4639002364725,2.55836268036512,3.51354789819137,3.47676093817218,2.63428861924647,4.25944479577402,3.59634906199679,3.26157778422439,4.33897786455545,5.39625576818757,2.85112155867313,4.49339997438114,3.10955408306016,2.29291807922775,2.62737058459295,5.40434240713141,2.89104578694215,2.97060675480333,4.24687807367737,4.08772247060266,4.55665118812605,4.38571689279435,2.26517381571207,4.80101623329085,8.69747126005276,3.22809080438157,2.80541495782382,4.56307981286027,3.97503241351168,3.88762591222063,4.50409833933807,3.41881332528218,3.58779268006203,2.95739521697543,5.20879508665629,3.92654757764565,3.38904284862491,4.4686902651302,2.86461135393085,3.91685291829657,3.31223110743231,4.40156689965371,4.50991748112755,3.03001965356161,3.50805011147876,2.29507193291734,4.85741963234807,4.46288841039485,2.60217367472856,1.42613024540033,2.65453528796442,4.01995870592541,4.76320683392387,3.70644798539816,3.56448436676272,3.17113953366232,3.15030971614999,2.96921036524543,3.80467863014458,2.48660964690688,3.61807531089315,5.1652341301545,4.51323894509349,4.88840856307297,3.26709754510114,3.57172359308394,4.01322853797139,5.48981563964366,3.91387715874304,2.4902148078175,2.54801787721516,1.90425102717662,5.75090005078996,3.18434414670773,4.18089475319772,3.81104938152853,2.66519867933557,4.20225690912611,2.57185160518653,3.80036509834329,4.64092374272836,3.52669329782422,4.43423347858381,2.7507560191273,2.74932240465462,2.69227946306175,1.69497722598137,3.29052205623799,2.79193003198429,4.83547550955304,4.78011687412164,3.68498554781162,0.996512207274539
"Dusp1",14.4977642916762,10.8079817441405,15.2974087378058,10.3660713599362,9.61305469783414,11.8080148753899,9.27791161239711,12.0230365481256,12.0793132121439,14.4366458678132,13.3125896156407,12.3881724354987,13.1630859880542,9.34269731423834,8.71119267906149,10.1587679366413,11.5757211845413,15.8730324853565,11.3426246533441,12.4866812154554,11.8131783599185,14.8339046058153,9.5425611358909,12.214063834392,8.10786942889775,10.8576680514095,11.8605747847054,12.8086192117569,8.44155700060458,10.3622146523724,10.3567260727323,8.91403331123862,9.88092446630791,9.79898317937392,12.9127292671343,8.45438202683948,11.4698886295164,10.0079386320971,14.2980013961401,11.1086135383251,10.8091705775313,11.5225521968494,10.0334850773184,12.3983246154441,11.1454407937309,11.7235153315676,12.7390283561183,9.09147438335144,10.5478899507796,10.6359328047366,12.9760498043544,9.88433815989839,12.2622768605524,12.1850359555739,9.36818425976596,7.94444941474511,11.6951816439755,11.2608796907142,10.2280163994967,10.5667772016572,11.105367233344,11.6367191684596,9.03795234172348,12.7756928215772,11.9396966073923,11.2787983307358,9.33818564242867,15.5659202315011,9.56328357122915,11.9485300644964,9.71333343060569,7.57417155150966,10.934085188566,11.1751765009141,11.1883226138275,10.1752842496242,8.83790426429857,11.8420907430667,10.2708410932456,11.3387751621296,11.6467951467716,10.6791661711548,13.78864312989,11.1810279544506,10.1737810420909,15.0089859971371,11.6386792210277,12.2294960259516,15.0979909514377,11.2168315781001,11.9491971317388,13.3650341673538,11.8540979386922,9.84946694072822,12.6244274360881,11.2373941352311,8.24314390993286,11.3271283202768,10.4041785584973,14.5449496135217,16.4899771855522,9.43585539394945,10.383561982091,8.58448749941333,13.2473790838554,16.4682839637599,7.80964126769763,8.83342568335379,10.5149650129499,12.5161937990524,13.8918574235484,10.9706942152924,12.303348674018,12.6192470548288,11.128348049303,9.64612862473551,14.2560730960492,12.2726824888376,11.2917468592746,15.6015240411585,12.0483420601659,13.2563641016978,11.1626901612944,13.07155310382,10.070951395971,13.7267798773046,12.319462611255,9.86113818178739,10.1031470618443,8.40346515260402,13.7208393626605,10.711231212279,10.7318955286172,11.5489693750532,11.9172089133146,12.4821743461745,9.74424464819734,12.0655730311927,14.8966015841272,12.1217301547829,12.4531964208105,9.78502186645243,9.97822948565945,9.35342681318418,10.9568605390394,11.869803495729,11.4973718132004,12.6974364015272,16.240038120113,12.990362727966,3.66300366300366
"Egr1",19.8837683665846,16.5301016657732,17.7406373924849,21.3487654094485,14.5113932598748,19.3540911665672,12.7471016666141,18.187954697706,19.1267009342739,21.5061081483503,18.2787917209546,18.7033097899193,16.7051800139582,10.7651903422037,16.3804885706094,15.8299130389426,16.495012707315,22.5348983892874,16.046604423701,23.0101108534769,15.8541648113621,23.9594673105517,13.81741084354,17.1509761501361,6.61690778015285,15.3135446780338,16.8720262760317,18.3040566249388,11.5931718125672,13.9611530783327,14.0247195719811,11.3870529475258,14.8274969836864,12.5982393248644,19.2752510024086,13.3487576765021,17.9769670714327,14.5878594123731,20.3181480005927,16.1618579917527,16.9704767664292,16.6231162947164,15.8779189695286,20.6203000653844,16.2755325886241,15.4287164271142,21.7387999003979,17.2901859807961,13.4855563158094,16.41350585148,19.4577314218922,13.7701280725993,17.4385197488105,18.2708547209026,11.8871401491174,11.9356165862187,17.388555756014,14.1155041685462,15.2869920293708,15.5631413721287,17.6868770695357,14.3107122476333,10.7299810307874,19.7573008378977,16.9699244964409,14.3567654496412,17.9018677851105,21.9528015039873,10.8051546296278,19.6648747963963,15.7904870415611,9.76732016858201,18.2944432465853,20.4650457731471,14.5152341814884,16.7764999307421,15.2946199118779,17.2336681661793,17.8966086366206,18.7157454746768,14.5540933317381,21.6120808375221,27.7867057896828,15.9369346644809,15.4890842869813,23.0045580874775,17.335500841663,15.1796705591965,18.6352356078856,16.6885554168588,18.4747314801683,15.7880181439618,19.1840703987065,18.2592084931422,19.9938869638055,16.7039749924648,12.1567544759831,16.9419329958168,17.8333728979084,19.3279317826555,23.5340105158736,17.4845049832176,15.022656961796,13.5690599834725,20.3803167091401,23.7650390939886,13.3095985251748,11.8466117538563,15.2415269561937,19.416592603349,21.354119685443,14.8603834843815,20.6961508474121,19.8913199397309,17.9801359537931,14.0584055972952,21.9947583454508,21.220710905072,15.3434121171317,23.2287907988763,21.7431850638567,20.7606873651846,16.7242116338145,19.3054263043242,14.3146145131582,21.5779512895114,18.4907620730233,12.1094085150223,12.9734396098008,8.81481684553964,24.7884384326594,13.004566935206,15.8473276261985,20.0899107477369,13.8864857031007,21.7229304506744,12.6713574244956,18.217845872709,20.0097940962238,17.9777679098715,19.5554645778816,13.9008551647853,12.9641533954873,13.2381432813194,12.6143460548357,16.4639464234643,17.032231523545,21.9651447611944,16.4542221921538,16.0146101661648,3.03859009419629
"Fos",24.5551684746515,23.8675770805475,26.4060115378802,28.6475976800866,25.7598615915695,25.5094286005893,18.1436143174864,25.5661417037366,27.3087331075994,34.2626253404608,29.1236579664699,26.1151833696903,29.6034575442875,17.7208802828314,20.5492064164046,19.8115780814887,24.4628891447061,30.8666318643249,24.60389978755,35.3365771972262,25.458410591045,31.4208287805092,21.2006928755168,25.311719985542,15.234919282541,25.1049050326925,25.740043239605,25.6777751879305,19.1672156870658,27.2039536993285,19.2045544510345,17.8136195688494,23.6465297482728,19.3471162350141,30.7708615959257,18.4745618058781,22.9046533237337,23.7520469646687,32.231583902238,23.1285137243645,21.5360145870216,20.9463332497194,22.7137386822702,27.8835798470508,22.0625745868601,26.7974680197309,25.9347830165595,25.7551661625608,23.2485460145333,22.2899568955819,25.6973056652768,21.0819297466571,29.2725373454758,24.7260321324539,17.7851284529874,20.2099018014142,21.4281134360838,19.3535101296609,19.1268653424967,20.4967503251184,24.4669746131274,22.9822668469046,17.6644298178871,29.4467075371337,24.579317858177,24.5587214684649,23.2442068066104,29.4729306560192,21.3570309254018,26.6062210189261,22.7736476359981,16.2374946847134,22.6669009382913,29.1332477454934,20.9846361197425,23.5481025487487,20.7503774901179,25.4338746379854,26.3577608018683,26.3442145761339,23.7599136764469,33.4328631421121,38.3183996978727,25.8919634967469,21.4773715774027,30.7086460486531,29.0466251535804,27.8848688519182,29.9405208158849,23.0935884471524,25.7195003923633,30.1315573692607,26.819875851197,25.4904469429961,25.1219714423843,25.8803327073226,18.5117175086904,22.7434928740738,26.7285801019632,31.6995732670955,28.8216749394683,25.2767564929248,25.3595336576376,20.011125731768,31.1899006436296,32.1052575879754,17.8455530605428,18.0069440100218,20.948366154429,27.7831446293525,27.438449095356,24.6750900388176,29.2120695336623,26.9864113557877,28.0780056292211,24.3893878072811,25.7202745163241,24.9693490079667,22.9260869739515,29.1914104801626,32.2743523222945,26.7468857606115,23.8094592007781,28.2371233379139,24.334533101271,30.4331186150143,22.4345184365379,22.1544374793982,20.9158847858976,15.4391960785912,40.1703071152673,24.8012979590946,26.8880410008862,26.817558392446,23.1656595386403,31.9199080131509,21.5099537439894,27.8124336698633,32.2258545022192,24.4759461716624,28.2083561258218,22.3871976514895,19.5937438094712,21.5354453072339,22.1642968522462,23.5954201168627,23.2139239747849,29.6076448164202,27.3045015989599,26.9153138711237,23.2450020947799
"Fosb",7.2668390461171,6.16209821938511,7.83847286608649,8.27422958138284,5.99130167682343,7.58983022983141,4.94926925778369,7.43281009404591,8.10994991689125,10.3893289496065,9.56662790812395,8.00826717376308,7.74014200612117,3.4084861526083,6.3592926882511,5.75870550647634,7.70705590757253,8.85190101804387,7.67263033418457,12.8018498560009,7.3006530364349,8.49778172043496,5.89241476180298,6.77590151295202,2.17658624729154,6.75330240723285,8.29005354922542,6.99068711051738,6.51829966507661,5.87988836510286,5.81015861042616,6.23924410693903,6.17595780181021,5.63017344667705,11.1204191321723,5.694500852758,6.6904599154691,6.89435280793194,10.0741810549407,7.30844394912372,6.04331615039313,4.59379293474748,7.13098513316084,7.4608330327384,6.40067481513104,7.80731981929917,8.09778703853497,8.83302099748914,7.13678798455986,6.62871739063013,7.43706222461971,6.63541056876587,8.91657702209293,5.87240899148702,6.58085782607866,6.41128537099667,5.45689722911516,5.56606058730718,6.04372040221457,4.55390733895623,6.5514306219202,6.58349900381085,4.85922912631303,9.00835556056412,8.2568694189976,6.56275837983192,6.36654054097682,9.04972493104311,5.7368537269,8.05577539279597,6.43232614978015,4.69403004401028,6.01764569987207,10.850516917925,6.52753063936778,6.30704926557469,9.27016495722002,7.14196798005993,7.85149856346022,7.83534125243123,5.79488084482968,12.3440919174612,15.6861870950107,7.38341170893684,6.16872695955427,8.89987058521437,9.1196571356615,8.64735404940326,8.99699247496095,6.7247702776081,6.74649066375746,8.12991753493723,8.71409858178736,8.10941997613963,6.11382127647291,7.57018028455897,5.92010114269787,6.80057366171845,7.89808566620736,12.5140786413236,8.38584493989068,7.17848161322887,8.16381049234622,5.53739223965623,8.1752976429304,9.78992059419934,5.70000848598211,6.30784517056432,5.80947811008585,8.53738008744262,7.81070898812485,6.05803767904383,10.5517841603067,6.49819583748947,7.49664473931931,5.72428090268699,6.53727223024902,5.46724227425769,6.55375720885613,8.71693465850875,10.9242700125737,8.01538095307664,6.21867990151763,7.10430509624244,7.85076005308521,10.4046072959157,6.79684841674406,6.44352831926345,7.05342603011672,3.56547135392336,14.3487932968857,7.38806990734319,8.37615730947247,9.79706753491526,5.83566881015841,8.78317540680619,5.81582072739248,10.4266064721401,9.0784809339258,5.98085481897046,9.41838355566271,6.29693075427621,5.29977707505165,4.80197484046981,7.12661366309539,7.45937913155417,7.22328166935201,9.2351398139371,9.33635193121043,8.00200547030079,1.51929504709815
